Connecting to console on VM mirageIperfServer. Press Ctrl + ']' to quit.
Server is using interface 0 with IP address 192.168.8.101
Setting up iperf server listening at port 5001 
Done setting up server 
ARP: updating 192.168.8.102 -> a6:38:2d:35:dd:1b
ARP responding to: who-has 192.168.8.101?
Iperf server: Received connection from 192.168.8.102:18048.
Iperf server: t = 71.543270, rate = 1118 KBits/s, totbytes = 10000000, live_words = 492697
Time=0.001020, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466538338 0 262140 262140 4380 23360 0 452893864] 
Time=0.001027, Delay=0.000000, Op=RX, Kind=SEG, details=[466539797 452893865] 
Time=0.001027, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466539797 0 262140 262140 4380 23360 0 452893864] 
Time=0.001028, Delay=0.000000, Op=RX, Kind=SEG, details=[466541256 452893865] 
Time=0.001028, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466539797 0 262140 262140 4380 23360 0 452893864] 
Time=0.001029, Delay=0.000000, Op=RX, Kind=SEG, details=[466542715 452893865] 
Time=0.001031, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466544174 0 262140 262140 4380 23360 0 452893864] 
Time=0.001035, Delay=0.000022, Op=TX, Kind=SEG, details=[452893865 466544174] 
Time=0.001043, Delay=0.000000, Op=RX, Kind=SEG, details=[466544174 452893865] 
Time=0.001043, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466544174 0 262140 262140 4380 23360 0 452893864] 
Time=0.001044, Delay=0.000000, Op=RX, Kind=SEG, details=[466545633 452893865] 
Time=0.001044, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466544174 0 262140 262140 4380 23360 0 452893864] 
Time=0.001045, Delay=0.000000, Op=RX, Kind=SEG, details=[466547092 452893865] 
Time=0.001046, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466548551 0 262140 262140 4380 23360 0 452893864] 
Time=0.001050, Delay=0.000015, Op=TX, Kind=SEG, details=[452893865 466548551] 
Time=0.001060, Delay=0.000000, Op=RX, Kind=SEG, details=[466548551 452893865] 
Time=0.001061, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466548551 0 262140 262140 4380 23360 0 452893864] 
Time=0.001066, Delay=0.000000, Op=RX, Kind=SEG, details=[466550010 452893865] 
Time=0.001066, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466550010 0 262140 262140 4380 23360 0 452893864] 
Time=0.001067, Delay=0.000000, Op=RX, Kind=SEG, details=[466551469 452893865] 
Time=0.001067, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466550010 0 262140 262140 4380 23360 0 452893864] 
Time=0.001068, Delay=0.000000, Op=RX, Kind=SEG, details=[466552928 452893865] 
Time=0.001068, Delay=0.000000, Op=RX, Kind=SEG, details=[466554387 452893865] 
Time=0.001071, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466555846 0 262140 262140 4380 23360 0 452893864] 
Time=0.001071, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466555846 0 262140 262140 4380 23360 0 452893864] 
Time=0.001074, Delay=0.000024, Op=TX, Kind=SEG, details=[452893865 466555846] 
Time=0.001083, Delay=0.000000, Op=RX, Kind=SEG, details=[466555846 452893865] 
Time=0.001083, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466555846 0 262140 262140 4380 23360 0 452893864] 
Time=0.001084, Delay=0.000000, Op=RX, Kind=SEG, details=[466557305 452893865] 
Time=0.001084, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466555846 0 262140 262140 4380 23360 0 452893864] 
Time=0.001085, Delay=0.000000, Op=RX, Kind=SEG, details=[466558764 452893865] 
Time=0.001085, Delay=0.000000, Op=RX, Kind=SEG, details=[466560223 452893865] 
Time=0.001086, Delay=0.000000, Op=RX, Kind=SEG, details=[466561682 452893865] 
Time=0.001087, Delay=0.000012, Op=TX, Kind=SEG, details=[452893865 466555846] 
Time=0.001089, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466563141 0 262140 262140 4380 23360 0 452893864] 
Time=0.001092, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466563141 0 262140 262140 4380 23360 0 452893864] 
